2014-02-01 01,4,2,1018,60,0,NULL,Foggy
2014-02-01 02,4,2,1019,56,7.2,North,Foggy
2014-02-01 03,4,2,1018,60,3.6,Northwest,Foggy
2014-02-01 04,4,1,1018,70,7.2,North,Foggy
12,NULL,6,NULL,NULL,3,NULL,Overcast

2014-02-01 19,3,3,1013,75,10.8,South,Overcast
2014-02-01 20,3,3,1013,75,10.8,South,Overcast
2014-02-01 21,3,2,1013,81,10.8,South,Overcast
2014-02-01 22,3,2,1013,81,14.4,South,Overcast
12,NULL,-1,NULL,NULL,3,NULL,Foggy

2014-02-02 13,0,10,1014,10,39.6,Northwest,Sunny
2014-02-02 14,0,10,1014,10,36,Northwest,Sunny
2014-02-02 15,0,9,1015,8,39.6,Northwest,Sunny
2014-02-02 16,0,9,1015,8,28.8,Northwest,Sunny
12,NULL,-4,NULL,NULL,4.5,North,Cloudy

2014-02-03 07,0,-4,1028,9,25.2,North,Sunny
2014-02-03 08,0,-3,1029,8,32.4,Northwest,Sunny
2014-02-03 09,0,-2,1029,9,28.8,Northwest,Sunny
2014-02-03 10,0,-1,1029,8,28.8,Northwest,Sunny
12,NULL,1,NULL,NULL,4.5,North,Sunny

2014-02-04 01,0,-4,1030,11,21.6,Northwest,Sunny
2014-02-04 02,0,-5,1030,11,25.2,North,Sunny
2014-02-04 03,0,-5,1030,11,21.6,Northwest,Sunny
2014-02-04 04,0,-5,1030,11,18,Northwest,Sunny
12,NULL,1,NULL,NULL,3,NULL,Sunny

2014-02-04 19,1,-4,1028,16,3.6,East,Sunny
2014-02-04 20,1,-4,1028,16,3.6,East,Sunny
2014-02-04 21,2,-2,1029,13,7.2,South,Sunny
2014-02-04 22,2,-2,1029,13,7.2,Southwest,Sunny
12,NULL,-7,NULL,NULL,3,NULL,Cloudy

2014-02-05 13,2,1,1028,28,3.6,NULL,NULL
2014-02-05 14,2,1,1027,32,14.4,Southeast,NULL
2014-02-05 15,2,1,1027,32,10.8,South,NULL
2014-02-05 16,2,1,1027,32,7.2,Southwest,Sunny
12,NULL,-5,NULL,NULL,3,NULL,Overcast

2014-02-06 07,4,-7,1030,63,3.6,NULL,NULL
2014-02-06 08,4,-7,1031,68,3.6,Northeast,NULL
2014-02-06 09,3,-3,1032,55,7.2,North,NULL
2014-02-06 10,3,-1,1032,44,7.2,Northwest,NULL
12,NULL,0,NULL,NULL,3,NULL,Overcast

2014-02-07 01,2,-2,1030,69,10.8,Southeast,NULL
2014-02-07 02,2,-2,1030,69,10.8,Southeast,NULL
2014-02-07 03,2,-2,1030,64,7.2,Southeast,Sunny
2014-02-07 04,2,-3,1029,59,7.2,Southeast,Overcast
12,NULL,-2,NULL,NULL,3,NULL,Snowy

2014-02-07 19,2,-3,1025,74,10.8,Southeast,Snowy
2014-02-07 20,2,-3,1025,74,10.8,Southeast,Snowy
2014-02-07 21,2,-4,1025,86,7.2,Southeast,Snowy
2014-02-07 22,2,-4,1025,86,7.2,Southeast,Snowy
12,NULL,-5,NULL,NULL,3,NULL,Snowy

2014-02-08 18,0,-3,1030,34,21.6,North,Sunny
2014-02-08 19,0,-3,1031,29,28.8,North,Sunny
2014-02-08 20,0,-5,1033,33,21.6,North,Sunny
2014-02-08 21,0,-6,1034,33,21.6,North,Sunny
12,NULL,-9,NULL,NULL,3.5,North,Sunny

2014-02-09 12,0,-3,1037,22,14.4,North,Sunny
2014-02-09 13,0,-3,1036,22,14.4,Northwest,Sunny
2014-02-09 14,0,-1,1035,21,10.8,North,Sunny
2014-02-09 15,0,-1,1034,19,10.8,Northwest,Sunny
12,NULL,-11,NULL,NULL,3,NULL,Sunny

2014-02-11 18,3,-1,1026,34,7.2,Southwest,NULL
2014-02-11 19,4,-2,1027,43,7.2,Southeast,NULL
2014-02-11 20,4,-5,1027,54,3.6,NULL,NULL
2014-02-11 21,4,-5,1028,59,3.6,NULL,Foggy
12,NULL,-9,NULL,NULL,3,NULL,Sunny

2014-02-12 13,0,4,1033,14,7.2,Southeast,Sunny
2014-02-12 14,0,4,1032,15,7.2,Southeast,Sunny
2014-02-12 15,1,4,1031,16,7.2,NULL,Sunny
2014-02-12 16,2,3,1032,17,10.8,Southwest,Sunny
12,NULL,-7,NULL,NULL,3,NULL,Cloudy

2014-02-13 07,4,-3,1037,51,10.8,Southeast,NULL
2014-02-13 08,4,-3,1037,47,10.8,Southeast,NULL
2014-02-13 09,4,-3,1038,51,7.2,Southeast,Snowy
2014-02-13 10,4,-3,1038,55,14.4,Southeast,Snowy
12,NULL,0,NULL,NULL,3,NULL,Snowy

2014-02-14 21,5,-4,1024,74,7.2,North,Foggy
2014-02-14 22,5,-4,1025,74,3.6,Northeast,Foggy
2014-02-14 23,5,-4,1025,74,0,NULL,Foggy
2014-02-15 00,5,-5,1025,80,3.6,North,Foggy
12,NULL,-5,NULL,NULL,3,NULL,Cloudy

2014-02-15 15,5,4,1023,42,7.2,Southeast,Foggy
2014-02-15 16,5,4,1023,42,3.6,NULL,Foggy
