5 10
5 3 4581744
2 1 7299723
1 3 6662496
2 3 8884549
3 1 7370221
5 4 339977
4 2 2434767
4 5 9559618
3 1 4959258
5 2 9912412
5 10
2 2 3462325
1 3 3978699
4 2 4735252
2 1 8418837
5 2 686972
4 5 4428847
5 5 1520127
4 3 3334453
4 3 9925535
5 5 3057650
5 10
3 1 3822444
2 2 4737389
3 5 9729912
2 2 5900449
5 4 6353344
4 5 3565783
2 1 9735710
2 1 3722953
4 3 8503373
1 2 9033784
5 10
1 2 1685538
3 5 620747
5 4 3461715
2 5 8643453
1 5 318003
3 4 6306040
3 4 7669302
2 3 9234901
2 1 6304819
5 4 3026521
5 10
5 2 5287943
3 1 2507401
5 3 8426466
2 3 3049410
2 5 7381512
2 4 3450423
4 1 7176428
2 4 7648549
2 4 486160
3 5 5121922
5 10
2 5 6976227
4 2 3534959
5 1 4268624
3 5 8213752
5 1 9190344
5 5 7665335
4 5 2946868
3 4 8837856
5 4 3133031
1 1 6365246
5 10
2 1 175482
5 1 2973724
5 3 7246926
3 4 9709769
2 2 2068850
3 5 1012910
2 2 7647939
4 5 7091587
1 4 8061465
4 5 838954
5 10
4 4 6218757
3 5 4922026
3 1 4283578
5 4 2879422
5 4 5442366
5 3 2394788
3 2 9148534
5 2 5568408
1 1 2160406
3 2 6255990
5 10
4 2 5828731
2 2 4658041
3 2 7445601
1 3 514543
3 2 1319926
2 3 4812769
1 5 4771875
4 2 2031923
1 2 6770532
2 3 6928618
5 10
4 5 3679007
2 2 7928709
5 5 8769799
5 5 9609364
1 5 1106296
5 4 5742974
4 4 6279489
3 4 8244881
3 5 7594226
3 5 2283701
